Date,LD12TRUU Index,SPX Index,RIY Index,RTY Index,RAG Index,RAV Index,LBUSTRUU Index,HYG Equity,MTUM Equity,CL1 Comdty,XAU Curncy,GSG Equity,MXEA Index,MXEF Index,DXY Index,PVOLAUS Index,TY1 Comdty,S5COND Index,S5CONS Index,S5ENRS Index,S5FINL Index,S5HLTH Index,S5INDU Index,S5INFT Index,S5MATR Index,S5RLST Index,S5TELS Index,S5UTIL Index,HTUSHFHI Equity,GSCBMSAL Equity,MXCXDRN Index,PLEVERUS Index,PPROFTUS Index,PEARNVUS Index,PDIVYUS Index,S5SFTW Index,S5TECH Index,S5SSEQX Index,S15INCR Index,BBG000BBJQV0 FIGI,BBG011WXCRR6 FIGI,BBG000H4FSM0 FIGI,BBG001M8HHB7 FIGI,BBG000N9MNX3 FIGI,BBG0024QY1Y6 FIGI,BBG000JW9B77 FIGI,BBG00BLYKS03 FIGI,BBG00KHY5S69 FIGI,BBG00LPWLFD4 FIGI,BBG000Q8RVM1 FIGI,BBG000BLZRJ2 FIGI,BBG000KKFC45 FIGI,BBG000BNGBW9 FIGI,BBG000BB6WG8 FIGI,BBG000D25424 FIGI,BBG00YC53854 FIGI
3/23/2022,203.46,4456.24,2461.392,2052.206,2162.873,2131.38,2218,81.74,165.81,104.785386,1943.86,24.49,2166.71,1140.72,98.622,1162.09,126.047378,1443.519,772.12,587.2,644.46,1563.68,865.55,2715.11,544.38,290,232.47,360.9,75.8,254.81,1271.65,1004.38,1118.33,937.45,944.37,3376.5,3200.73,2282.41,14386.69,256.34,10.07,4456.24,25.55,333.0367,146.5,23.57,219.48,599.38,12.19,32.97,92.38,14447.55,5.28,89.09,7.75,14.25
3/24/2022,203.45,4520.16,2496.009,2075.443,2201.943,2151.994,2209.6,81.91,168.25,102.423999,1957.69,24.19,2162.5,1136.95,98.789,1162.77,125.823516,1454.102,776.88,587.95,649.33,1581.62,872,2788.63,555.07,291.85,236.39,364.49,76.53,259.24,1281.24,1003.71,1118.26,937.54,944.32,3429.08,3267.22,2423.22,14415.36,281.5,10.07,4520.16,26.24,337.9733,141.4,21.67,223.4,626.43,12.66,32.61,92.13,14765.69,5.34,90.43,7.74,14.48
3/25/2022,203.45,4543.06,2506.392,2077.983,2198.863,2172.406,2192.96,81.32,168.19,103.846302,1958.29,24.38,2159.53,1125.01,98.789,1156.29,124.416058,1452.848,783.16,601.34,657.82,1589.78,877.48,2786.1,561.19,295.45,237.3,369.89,75.78,256.55,1272.32,1003.54,1120.01,935.35,944.58,3421.56,3281.16,2409.66,14500.85,276.92,10.07,4543.06,26.28,336.88,135.9,20.81,221.95,628.87,12.13,32.12,92.38,14754.31,5.37,93.49,7.72,14.15
3/28/2022,203.46,4575.52,2524.716,2078.06,2230.262,2171.041,2196.89,81.83,170.32,96.607148,1922.8,22.97,2150.98,1124.82,99.091,1158.83,124.575945,1491.668,786.39,585.92,655.86,1601.48,877.75,2820.35,558.61,299.24,237.94,372.17,76,264.2,1283.14,1002.24,1121.49,936.92,944.3,3488.54,3294.66,2430.73,14874.14,282.19,10.085,4575.52,26.22,363.9467,132.5,19.63,222.12,632.88,12.46,32.62,91.27,14987.4,5.39,92.35,7.61,13.77
3/29/2022,203.46,4631.6,2559.435,2133.096,2272.126,2193.064,2206.96,82.84,172.74,95.038968,1919.43,23.05,2202.26,1136.45,98.404,1166.07,125.215699,1514.666,793.62,583.32,657.4,1610.34,885.63,2878.53,562.9,307.76,241.25,375.62,78.28,274.8,1296.43,1002.1,1119.41,938.73,944.37,3567.36,3356.3,2477.4,14916.83,286.56,10.08,4631.6,27.67,366.5233,123.3,18.9,223.01,641.47,13.11,33.32,91.84,15239.32,5.53,87.84,7.63,14.65
3/30/2022,203.46,4602.45,2540.846,2091.07,2245.01,2184.38,2213.93,82.59,170.72,98.30297,1932.87,23.42,2204.09,1149.3,97.792,1160.77,125.519607,1491.735,794.85,590.15,652.76,1613.9,884.31,2839.31,561.02,306.02,239.92,378.76,76.73,264.8,1277.35,1001.8,1121.4,935.81,946,3530.49,3333.52,2401.93,14644.71,276.9,10.09,4602.45,27.08,364.6633,125.5,19.33,224.96,631.09,13.08,33.14,90.27,15071.55,5.53,89.3,7.68,14.71
3/31/2022,203.46,4530.41,2501.293,2070.125,2209.799,2152.113,2215.38,82.29,168.27,91.428508,1937.44,22.65,2181.63,1141.79,98.312,1158.04,125.775508,1462.69,791.47,581.93,637.61,1594.81,870.46,2794.09,553.45,302.42,235.09,378.12,75.58,257.68,1266.29,1003.1,1121.41,934.6,946.64,3484.39,3276.53,2352.75,14338.56,272.86,10.09,4530.41,27.12,359.2,134.6,20.56,227.08,629.68,12.9,31.97,87.4,14838.49,5.46,90.26,7.73,14.27
4/1/2022,203.46,4545.86,2511.268,2091.11,2217.985,2162.94,2209.45,81.95,168.54,90.507659,1925.68,22.61,2171.15,1145.85,98.632,1158.73,125.119787,1465.809,801.38,586.89,636.27,1609.25,864.37,2789.45,559.73,308.54,237.17,383.62,76.11,260.65,1254.26,1003.11,1119.93,934.95,946.74,3506.35,3269.24,2309.68,14392.56,267.12,10.085,4545.86,27.4,361.53,127.5,19.63,227.85,626.98,13.02,33.2,86.99,14861.21,5.55,91.17,7.97,14.74
4/4/2022,203.46,4582.64,2531.905,2095.44,2256.073,2159.217,2210.77,82.57,170.4,94.163705,1932.73,23.14,2182.74,1161.65,99,1163.86,124.975868,1499.931,798.82,587.29,633.25,1597.22,862.86,2842.79,559.49,307.57,242.58,380.58,77.2,270.4,1278.34,1002.65,1119.59,937.94,946.21,3567.4,3337.95,2356.15,14802.8,273.6,10.09,4582.64,28.08,381.8167,117.8,18.57,229.03,634.85,14.49,34.33,87.28,15159.58,5.59,90.43,8,14.7
4/5/2022,203.46,4525.12,2497.1,2046.043,2210.928,2141.051,2191.46,81.5,166.69,92.960219,1923.6,22.77,2176.49,1156.75,99.472,1154.69,123.776305,1464.657,799.36,578.43,628.52,1600.1,850.83,2780.5,555.07,307.76,239.22,383.11,75.4,256.32,1256.6,1002.49,1122.93,933.7,947.21,3516.08,3274.54,2254.38,14429.4,259.31,10.09,4525.12,27.1,363.7533,132.2,21.03,219.96,614.12,13.91,33.39,85.28,14820.64,5.52,90.9,7.76,13.75
4/6/2022,203.46,4481.15,2470.68,2016.937,2163.017,2141.978,2184.91,80.86,163.81,87.735993,1925.35,22.42,2141.33,1142.5,99.599,1148.18,123.536372,1426.107,810.46,581.57,624.39,1624.87,844.33,2709.72,548.87,312.53,234.17,390.76,73.74,248.4,1215.21,1002.77,1125.72,929.2,950.03,3415.44,3215.93,2187.32,13959.62,244.07,10.09,4481.15,26.04,348.5867,136.4,22.1,211.22,602,13.26,32.74,83.13,14498.88,5.41,92.83,7.72,12.94
4/7/2022,203.46,4500.21,2479.62,2009.799,2169.394,2149.347,2180.82,80.73,165.1,87.553646,1931.86,22.36,2126.57,1126.06,99.751,1145.9,123.392453,1431.667,820,589.46,623.78,1655.01,846.93,2716,552.33,309.84,232.46,389.78,73.63,244.54,1198.93,1002.76,1129.83,928.18,950.26,3422.71,3228.77,2187.65,13873.63,242.08,10.09,4500.21,25.7,352.42,131.3,21.55,217.03,603.05,13.08,32.25,83.13,14531.81,5.44,93.98,7.75,12.42
4/8/2022,203.46,4488.28,2472.204,1994.562,2145.553,2159.107,2169.28,80.24,164.28,89.586809,1947.54,22.62,2139.56,1127.93,99.796,1143.63,122.960594,1417.791,823.24,605.71,630.05,1664.59,841.81,2677.04,555.39,310.87,230.73,390.94,73.37,240.9,1180.83,1003.6,1131.25,924.61,950.63,3387.82,3192.05,2124.99,13590.45,231.19,10.09,4488.28,25.3,341.83,131,21.16,218.21,587,12.48,32.28,84.06,14327.26,5.37,95.25,7.91,12
4/11/2022,203.46,4412.53,2433.119,1980.324,2099.209,2139.588,2159.42,79.69,160.79,85.967232,1953.52,22.26,2126.86,1111.76,99.932,1143.43,122.576742,1390.934,819.38,586.88,627.04,1631.84,839.33,2607.31,552.87,306.67,226.86,385.53,73.45,239.75,1182.16,1004.57,1128.05,923.1,951.83,3297.21,3114.17,2067.58,13307.5,219.17,10.095,4412.53,25.02,325.31,141.6,24.37,216.6,580.61,12.24,31.51,84.02,13990.21,5.29,94.57,7.77,11.6
4/12/2022,203.47,4397.45,2424.946,1986.937,2092.302,2133.938,2165.82,80.3,159.94,91.720263,1966.76,23.11,2113.28,1110.4,100.292,1143.35,123.344446,1393.725,819.22,597,620.35,1616.38,838.15,2598.1,553.05,305.61,225.02,387.1,73.06,239.79,1180.06,1003.1,1126.91,923.5,951.74,3266.09,3136.48,2053.92,13269.71,215.04,10.09,4397.45,24.68,328.9833,144,24.26,223.51,585.07,12.12,31.39,83.93,13940.24,5.18,95.07,7.87,11.39
4/13/2022,203.47,4446.59,2454.765,2025.102,2128.583,2151.362,2167.72,80.78,162.16,95.048085,1977.8,23.76,2113.9,1119.32,99.875,1145.78,123.648354,1428.729,824.86,605.12,619.85,1623.31,846.25,2639.45,561.14,306.87,227.96,386.45,74.79,247.77,1189.54,1003.58,1123.73,927.21,950.06,3312.32,3182.33,2099.45,13683.88,222.03,10.09,4446.59,26.2,340.79,129.4,21.82,239.86,592.54,12.69,32,84.13,14217.29,5.25,95.55,8.16,11.71
4/14/2022,203.47,4392.59,2424.609,2004.98,2087.792,2140.182,2154.04,80.24,159.14,97.509762,1973.71,24.06,2118.51,1117.36,100.321,1141.35,122.768668,1406.281,824.51,607.63,613.38,1615.79,845.44,2574.88,559.23,305.08,223.81,386.48,73.9,242.03,1171.91,1004.94,1124.38,925.38,950.9,3248.93,3094.04,2032.96,13350.11,212.58,10.09,4392.59,26.83,328.3333,133.4,22.7,235.22,573.85,12.42,31.64,84.76,13893.21,5.11,96.91,8.2,11.18
4/15/2022,203.47,4392.59,2424.609,2004.98,2087.792,2140.182,2154.04,80.24,159.14,97.509762,1978.24,24.06,2115.99,1112.9,100.5,1141.35,122.768668,1406.281,824.51,607.63,613.38,1615.79,845.44,2574.88,559.23,305.08,223.81,386.48,73.9,242.03,1171.91,1004.94,1124.38,925.38,950.9,3248.93,3094.04,2032.96,13350.11,212.58,10.09,4392.59,26.83,328.3333,133.4,22.7,235.22,573.85,12.42,31.64,84.76,13893.21,5.11,96.91,8.2,11.18
4/18/2022,203.47,4391.69,2421.46,1990.134,2083.473,2137.458,2147.5,80.11,159.27,98.658545,1978.91,24.45,2107.2,1106.68,100.781,1139.15,122.464759,1411.012,817.81,616.8,617.14,1597.73,842.21,2583.12,559.69,304.24,223.46,384.59,72.64,235.55,1180.23,1004.87,1126.06,923.96,951.05,3244.32,3092.34,2074.03,13437.37,217.83,10.09,4391.69,26.73,334.7633,131.2,22.17,224.99,586.5,11.81,31.35,86.48,13910.76,5.1,96.46,7.85,10.91
4/19/2022,203.48,4462.21,2463.146,2030.765,2128.603,2165.798,2134.49,80.04,162.29,93.507258,1950.09,23.64,2094.8,1096,100.961,1144.13,121.92102,1452.086,829.84,610.86,625.28,1612.58,857.43,2630.64,564.89,310.69,228.08,386.94,74.32,241.78,1195.36,1005.58,1124.06,924.65,949.3,3308.87,3137.76,2117.08,13899.1,221.98,10.09,4462.21,27.85,342.7167,121.3,21.37,228.66,597.62,12.16,31.04,88.91,14210.26,5.2,95.93,7.66,11.16
4/20/2022,203.48,4459.45,2460.211,2038.185,2109.068,2181.465,2146.14,80.29,161.9,93.680487,1957.77,23.72,2127.03,1095.63,100.39,1137.67,122.32084,1432.403,841.99,613.39,629.57,1634.24,862.09,2627.16,568.78,316.44,218.8,390.02,73.38,235.02,1173.8,1005.23,1125.75,923.43,950.63,3310.78,3145.38,2092.52,13538.28,214.82,10.11,4459.45,26.7,325.7333,117,20.32,222.49,597.72,11.55,30.13,90.61,13998.53,5.33,98.22,7.71,10.78
4/21/2022,203.48,4393.66,2420.681,1991.462,2067.537,2152.29,2135.76,79.74,158.17,95.147253,1951.62,23.76,2126.64,1086.93,100.578,1129.53,121.553136,1414.749,841.1,594.35,619.9,1616.16,853.46,2581.78,559.25,314.44,213.52,383.81,71.26,225.53,1167.84,1004.86,1130.14,921.56,953.7,3251.25,3125.6,2023.25,13047.38,201.83,10.1,4393.66,26.28,336.26,130.2,22.68,209.85,592.73,10.91,29.24,88.91,13720.45,5.27,96.05,7.58,9.96
4/22/2022,203.48,4271.78,2354.334,1940.665,2008.449,2096.198,2131.63,79.26,153.24,93.57048,1931.6,23.35,2081.96,1075.6,101.22,1126.86,121.745062,1381.158,827.69,579.9,601.3,1557.49,832.24,2509.65,538.4,308.86,206.48,377.35,69.78,219.05,1167.74,1004.17,1130.3,921.19,954.45,3153.92,3038.37,1976.26,12698.3,195.15,10.1,4271.78,25.73,335.0167,153.9,28.21,205.62,586.95,11.01,29.51,84.74,13356.87,5.14,92.18,7.46,9.82
