Date,LD12TRUU Index,SPX Index,RIY Index,RTY Index,RAG Index,RAV Index,LBUSTRUU Index,HYG Equity,MTUM Equity,CL1 Comdty,XAU Curncy,GSG Equity,MXEA Index,MXEF Index,DXY Index,PVOLAUS Index,TY1 Comdty,S5COND Index,S5CONS Index,S5ENRS Index,S5FINL Index,S5HLTH Index,S5INDU Index,S5INFT Index,S5MATR Index,S5RLST Index,S5TELS Index,S5UTIL Index,HTUSHFHI Equity,GSCBMSAL Equity,MXCXDRN Index,PLEVERUS Index,PPROFTUS Index,PEARNVUS Index,PDIVYUS Index,S5SFTW Index,S5TECH Index,S5SSEQX Index,S15INCR Index,BBG0076WG2V1 FIGI,BBG009S3NB30 FIGI,BBG000F1ZSQ2 FIGI,BBG000BSWKH7 FIGI,BBG000BFT2L4 FIGI,BBG000BHJWG1 FIGI,BBG000BHPL78 FIGI,BBG000BL21Z7 FIGI,BBG000BWSGF4 FIGI,BBG000C0G1D1 FIGI,BBG000C1PFY5 FIGI,BBG000C2LZP3 FIGI,BBG000CTQBF3 FIGI,BBG000DJN7L9 FIGI,BBG000F3CWW7 FIGI,BBG000F6ZWH2 FIGI,BBG000FQRVM3 FIGI,BBG000PPFKQ7 FIGI,BBG000R0L5J4 FIGI,BBG000R8ZVD1 FIGI,BBG0025XVR85 FIGI,BBG007GNPYY7 FIGI,BBG000CTSZQ6 FIGI,BBG000B9XYV2 FIGI,BBG000BVPG41 FIGI,BBG000BDSLD7 FIGI,BBG00SSQFPK6 FIGI,BBG009J8K7M0 FIGI,BBG000BW05W9 FIGI,BBG011C0FS40 FIGI,BBG00H2MPBV5 FIGI,BBG012J3H017 FIGI,BBG0136GCJX9 FIGI,BBG01BGWHFR5 FIGI,BBG0160DYCH4 FIGI,BBG01HTMDZ54 FIGI,BBG000BHLYP4 FIGI,BBG000MM2P62 FIGI,BBG000BVPV84 FIGI
1/18/2022,203.4,4577.11,2528.67,2096.23,2243.92,2166.25,2297.99,85.67,167.68,76.15,1813.74,18.53,2313.35,1241.58,95.73,1156.03,130.2,1516.23,792.25,493.97,663.53,1541.38,884.55,2837.84,550.49,300.44,256.45,348.59,80.37,249.14,1370.93,993.71,1128.1,938.12,944.92,3556.24,3251.85,2444.47,14067.72,56.5,136.29,366.3,370.55,50.18,132.2,240.66,225.56,65.96,54.76,92.28,45.87,97.73,292.9,105.29,113.35,325.4,159.92,42.76,332.53,29.04,75.99,254.39,250.23,35.22,136.1,272.68,75.07,101.43,22.7,23.87,16.68,12.9,293.63,,98.62,223.5,318.15,158.92
1/19/2022,203.4,4532.76,2504.01,2062.78,2219.2,2146.3,2303.77,85.59,165.77,77.52,1840.54,18.62,2301,1239.83,95.51,1153.58,130.5,1488.84,797.67,490.72,652.56,1534.57,874.8,2798.88,549.33,296.8,255.96,350.19,79.66,245.66,1355.61,992.91,1130.42,935.92,944.81,3549.99,3187.61,2368.48,13849.48,56.17,135.65,360.73,366.48,50.33,132.55,233.92,226.13,64.63,53.62,90.29,44.84,96.87,292.65,107.1,114.36,324.46,160.48,42.31,330.95,27.71,75.33,257.05,249,35.39,136.79,270.63,72.82,100.67,23,24.09,16.01,12.45,293.46,,96.34,229.62,319.59,156.3
1/20/2022,203.4,4482.73,2475.86,2024.04,2189.97,2124.48,2306.28,85.43,163.94,77.46,1839.29,18.56,2318.85,1255.74,95.74,1153.55,130.53,1459.92,791.89,486.31,648.48,1525.63,863.97,2761.65,541.46,294.08,253.05,350.69,78.35,239.56,1346.01,992.91,1129.81,933.73,944.43,3530.94,3151.61,2288.31,13442.1,56.1,133.51,364,361.72,50.22,133.82,228.65,216.6,64.24,52.04,88.59,43.81,95.72,285.55,106.02,111,316.42,159.79,41.07,322.53,28.75,74.59,255.92,245.94,36.03,137.01,270.25,73.49,99.42,23.06,24.45,15.81,12.8,291.32,,95.12,231.2,316.56,151.67
1/21/2022,203.4,4397.94,2427.56,1987.92,2135.22,2095.47,2313.35,85.44,159.99,77.09,1835.38,18.57,2284.35,1244.31,95.64,1147.3,131.16,1414.67,792.02,476.81,635.39,1509.42,855.63,2708.3,527.96,293.96,243.22,350.05,76.67,230.93,1325.95,992.93,1132.43,931.52,946.2,3451.94,3104.64,2245.35,12657.48,55.39,130.09,355.08,351.69,49.73,132.96,225.66,209.94,63.13,52.04,84.91,43.77,96.31,282.79,103.62,109.76,319.23,156.6,39.4,313.02,25.91,73.06,251.95,244.76,35.93,135.8,266.42,69.54,97.06,21.09,24.47,15.26,12.75,283,,93.8,225.91,303.17,142.64
1/24/2022,203.4,4410.13,2437.6,2033.51,2152.35,2100.58,2311.11,85.35,160.84,75.44,1843.06,18.47,2218.6,1222.16,95.92,1151.04,131.37,1431.83,789.21,479.43,636.91,1503.89,860.2,2717.3,528.09,294.47,244.27,346.45,78,235.51,1336.66,994.11,1128.16,933.65,945.1,3464.64,3098.1,2268.91,12826.87,55.75,130.37,349.42,353.3,50.07,135.59,234.19,217.52,64.61,51.94,91.43,44.99,98.1,287.46,106.61,116.55,322.88,157.92,40.56,321.62,27.04,75.5,256.05,248.4,36.17,133.72,273.65,73.11,98.98,22.61,23.48,15.96,12.1,300.27,,93.09,224.25,308.71,144.54
1/25/2022,203.4,4356.45,2404.92,2004.03,2104.16,2091.44,2309.08,85.1,158.31,77.51,1848.02,18.67,2211.51,1210.45,95.95,1150.38,130.97,1405.9,780.26,498.42,639.89,1493.93,852.17,2653.82,523.56,293.69,238.81,341.02,76.32,233.67,1319.02,995.93,1125.71,934.63,949.19,3380.54,3056.99,2187.32,12420.95,54.5,126.74,338.76,345.11,49.67,128.07,226.06,213.74,64.42,51,87.91,44.03,97.01,278.9,103.59,117.91,310.38,152.01,39.88,308.83,26.28,73.31,250.39,250.53,35.36,132.32,267.71,68.67,95.91,20.64,23.05,15.66,12,286.69,,90.38,221.79,300.15,139.99
1/26/2022,203.4,4349.93,2399.22,1976.46,2104.8,2077.98,2297.5,84.81,158.48,79.09,1819.59,18.82,2234.47,1211.45,96.48,1148.69,130.34,1401.35,775.02,497.56,641.59,1487.29,845.14,2672.96,518.23,288.81,236.93,338.6,75.31,229,1323.95,995.85,1124.87,935.81,949.82,3407.63,3050.79,2229.14,12318.52,54.44,129.24,344.66,344.57,48.46,128.19,226.61,209.21,63.25,51.69,86.61,42.41,95.58,276.23,104.27,113.75,308.51,148.97,39.56,302.76,24.82,72.17,253.09,242.6,34.31,132.28,267.69,67.5,94.82,21.62,22.72,15.32,12.15,293.06,,90.03,220.13,294.63,138.87
1/27/2022,203.4,4326.51,2384.53,1931.29,2084.53,2068.44,2303.38,84.44,156.51,78.42,1797.43,18.92,2203.51,1192.06,97.26,1142.92,130.49,1369.52,779.49,503.75,635.68,1489.36,837.31,2654.5,520.1,283.75,237.62,341.25,74.57,221.41,1306.28,996.66,1127.9,934.2,951.46,3432.39,3037.97,2133.22,12374.41,53.98,129.12,350.53,341.1,48.01,129.4,224.92,205.59,61.97,48.05,83.88,41.31,95.32,271.92,101.94,111.92,306.54,150.15,38.87,306.52,23.27,68.87,256.66,236.43,34.73,122.38,261.88,64.92,93.46,20.71,22.6,14.2,12.45,290.89,,89.94,223.24,294.64,139.64
1/28/2022,203.4,4431.85,2443.47,1968.51,2156.4,2097.92,2305.06,84.68,160.6,78.61,1791.53,19.02,2201.56,1191.14,97.27,1146.05,130.79,1401.07,788.58,500.72,643.77,1520.3,843.04,2769.57,523.05,293.34,244.55,345.28,76.35,228.87,1324.39,996.95,1128.88,937.38,949.12,3573.61,3218.51,2185,12755.44,54.97,133.29,382.51,351.8,49.72,136.07,234.05,208.05,64.38,47.73,85.8,41.68,97.21,279.15,101.01,113.19,316.94,154.15,40.16,315.91,23.42,70.98,262.95,246.77,35.45,121.97,270.18,69.13,96.27,22.28,22.36,14.85,12.2,319.17,,91.82,225.75,301.71,143.98
1/31/2022,203.4,4515.55,2494.64,2028.45,2222.78,2123.04,2304.4,84.7,165.4,79.82,1797.17,19.12,2222.45,1208.23,96.54,1157.62,130.81,1454.45,792.38,502.93,649.52,1530.46,852.34,2843.88,530.58,297.02,250.41,351.67,78.86,242.9,1346.97,995.47,1124,940.64,947.89,3635.45,3295.13,2304.57,13260.24,55.97,135.7,386.38,363.05,49.99,139.93,239.76,209.33,66.28,48.82,88.44,42.83,98.32,282.56,105.06,115.4,320.12,159.22,40.34,333.76,25.93,74.57,265.72,251.5,35.59,125.21,276.44,73.56,100.32,24.69,22.69,15.02,12.4,324.34,,96.31,229.5,313.26,149.57
2/1/2022,203.41,4546.54,2513.4,2050.74,2240,2139.39,2302.89,84.73,167.31,79.86,1801.19,19.26,2250.43,1214.01,96.39,1162.54,130.71,1463.56,791.88,520.75,658.84,1534.81,864.43,2850.67,539.44,294.83,253.61,347.18,80.09,249.11,1351.48,995.98,1119.82,942.44,947.41,3643.63,3293.02,2321.41,13393.68,56.49,137.88,392.06,365.52,49.94,144,242.22,209.48,66.67,48.95,93.63,42.54,98.76,280.25,104.96,118.15,323.72,153.33,41.71,344.91,26.01,73.57,268.46,250.15,35.34,127.68,276.81,74.67,101.37,25.55,22.92,15.61,12.85,325.87,,96.83,232.02,319,151.19
2/2/2022,203.41,4589.38,2532.23,2029.52,2253.11,2154.46,2306.09,84.86,168.62,79.92,1806.8,19.32,2276.83,1213.23,95.94,1155.3,130.97,1455.87,801.25,522.72,663.18,1554.03,870.21,2873.87,540.7,299.72,261.44,352.25,79.26,242.24,1345.98,997.69,1125.49,941.15,945.34,3640.49,3322.79,2385.87,13314.21,56.97,148.04,396.75,368.49,49.99,142.15,245.17,206.13,68.08,49.51,93.52,41.29,97.73,281.5,105.31,115.72,330.17,154.3,41.93,349.19,24.78,72.3,275.9,252.34,36.22,127.15,278.63,73.08,101.14,24.27,23.8,15.23,12.85,314.29,,97.43,239.37,323,150.61
2/3/2022,203.41,4477.44,2469.35,1991.03,2169.7,2129.88,2298.59,84.1,164.67,81.74,1804.85,19.4,2261.69,1210.27,95.38,1148.17,130.47,1403.89,801.36,517.29,655.53,1546.99,855.65,2785.76,531.11,296.42,243.58,350.71,77.61,234.08,1309.21,998.64,1128.19,939.97,944.57,3516.29,3267.65,2281.7,12294.37,55.61,142.65,390.07,353.55,49.64,139.99,233.45,203.75,66.64,48.28,92.84,40.75,95.94,274.95,100.21,111.87,328.63,148.39,41.2,330.35,23.04,69.84,267.95,250.7,35.46,123.81,276.5,71.16,98.21,23.4,23.32,14.35,12.3,304.41,,95.9,241.07,237.76,138.85
